28
0;242;65;1:120%14:115
1;335;70;2:85%9:77%15:195
2;423;83;3:103%9:55
3;507;95;4:106%10:130
4;590;110;5:108%7:75%11:195
5;691;115;6:100%7:80
6;770;125;8:145
7;637;162;8:77%12:195
8;681;213;13:195
9;380;122;10:77%16:195
10;425;170;11:77%17:195
11;469;222;12:77%18:195
12;511;275;13:77%19:195
13;557;323;20:195
14;170;130;15:77%21:195
15;212;180;16:77%22:195
16;257;228;17:77%23:195
17;300;280;18:77%24:195
18;345;332;19:77%25:195
19;390;383;20:77%26:195
20;435;433;27:195
21;47;240;22:77
22;90;290;23:77
23;135;340;24:77
24;177;389;25:77
25;222;440;26:77
26;265;492;27:77
27;308;540;
